cpu,client,run,core,usr,kernel,softirq,idle
36,1,1,21,0.00,3.00,3.00,94.00
36,1,1,22,0.00,1.01,1.01,97.98
36,1,1,23,0.00,1.03,3.09,95.88
36,1,1,24,0.00,2.00,3.00,95.00
36,1,1,25,0.00,3.03,3.03,93.94
36,1,1,26,0.00,2.04,1.02,96.94
36,1,1,27,0.00,1.01,3.03,95.96
36,1,1,28,0.00,2.00,2.00,96.00
36,1,1,29,0.00,2.02,3.03,94.95
36,1,1,30,0.00,2.00,1.00,97.00
36,1,1,31,0.00,2.02,0.00,97.98
36,1,1,32,0.00,2.00,3.00,95.00
36,1,1,33,0.00,2.08,1.04,96.88
36,1,1,34,0.00,2.04,1.02,96.94
36,1,1,35,0.00,2.02,0.00,97.98
36,1,1,-1,0.03,2.10,1.12,96.74
36,1,1,0,0.00,1.02,1.02,97.96
36,1,1,1,0.00,1.04,0.00,98.96
36,1,1,2,0.00,2.02,1.01,96.97
36,1,1,3,0.00,1.02,0.00,98.98
36,1,1,4,0.00,2.00,4.00,94.00
36,1,1,5,0.00,2.04,0.00,97.96
36,1,1,6,0.00,2.00,2.00,96.00
36,1,1,7,0.00,1.02,0.00,98.98
36,1,1,8,0.00,1.02,0.00,98.98
36,1,1,9,0.00,4.04,2.02,93.94
36,1,1,10,1.00,2.00,0.00,97.00
36,1,1,11,0.00,0.00,0.00,100.00
36,1,1,12,0.00,1.01,1.01,97.98
36,1,1,13,0.00,3.03,1.01,95.96
36,1,1,14,0.00,2.02,2.02,95.96
36,1,1,15,0.00,2.02,0.00,97.98
36,1,1,16,0.00,2.04,0.00,97.96
36,1,1,17,0.00,2.02,2.02,95.96
36,1,1,18,0.00,2.02,0.00,97.98
36,1,1,19,0.00,1.01,2.02,96.97
36,1,1,20,0.00,1.02,0.00,98.98
36,1,1,21,0.00,4.95,1.98,93.07
36,1,1,22,0.00,2.02,0.00,97.98
36,1,1,23,0.00,2.91,5.83,91.26
36,1,1,24,0.00,3.00,1.00,96.00
36,1,1,25,0.00,4.04,2.02,93.94
36,1,1,26,0.00,2.97,1.98,95.05
36,1,1,27,0.00,2.02,2.02,95.96
36,1,1,28,0.00,2.00,2.00,96.00
36,1,1,29,0.00,3.03,2.02,94.95
36,1,1,30,0.00,3.03,0.00,96.97
36,1,1,31,0.00,1.01,0.00,98.99
36,1,1,32,0.00,1.02,1.02,97.96
36,1,1,33,0.00,2.08,0.00,97.92
36,1,1,34,0.00,3.00,2.00,95.00
36,1,1,35,0.00,3.00,0.00,97.00
36,1,1,-1,0.03,1.89,1.32,96.76
36,1,1,0,0.00,2.02,1.01,96.97
36,1,1,1,0.00,3.12,0.00,96.88
36,1,1,2,0.00,1.02,0.00,98.98
36,1,1,3,0.00,3.00,0.00,97.00
36,1,1,4,0.00,0.00,4.08,95.92
36,1,1,5,0.00,3.03,0.00,96.97
36,1,1,6,0.00,1.01,3.03,95.96
36,1,1,7,0.00,0.00,0.00,100.00
36,1,1,8,0.00,2.02,0.00,97.98
36,1,1,9,0.00,2.06,1.03,96.91
36,1,1,10,0.00,2.04,0.00,97.96
36,1,1,11,0.00,3.00,0.00,97.00
36,1,1,12,0.00,3.00,0.00,97.00
36,1,1,13,0.00,4.00,1.00,95.00
36,1,1,14,0.00,2.02,2.02,95.96
36,1,1,15,0.00,1.03,0.00,98.97
36,1,1,16,0.00,1.02,0.00,98.98
36,1,1,17,0.00,1.02,3.06,95.92
36,1,1,18,0.00,2.02,0.00,97.98
36,1,1,19,0.00,1.01,3.03,95.96
36,1,1,20,0.00,2.04,0.00,97.96
36,1,1,21,0.00,5.94,0.99,93.07
36,1,1,22,0.00,2.02,0.00,97.98
36,1,1,23,0.00,0.00,6.00,94.00
36,1,1,24,0.00,2.02,2.02,95.96
36,1,1,25,0.99,2.97,4.95,91.09
36,1,1,26,0.00,1.01,2.02,96.97
36,1,1,27,0.00,1.02,2.04,96.94
36,1,1,28,0.00,2.04,1.02,96.94
36,1,1,29,0.00,3.03,2.02,94.95
36,1,1,30,0.00,2.02,0.00,97.98
36,1,1,31,0.00,1.03,0.00,98.97
36,1,1,32,0.00,2.04,1.02,96.94
36,1,1,33,0.00,1.03,2.06,96.91
36,1,1,34,0.00,0.00,4.04,95.96
36,1,1,35,0.00,2.00,1.00,97.00
36,1,1,-1,0.00,2.35,1.12,96.51
36,1,1,0,0.00,3.00,1.00,96.00
36,1,1,1,0.00,4.00,1.00,95.00
36,1,1,2,0.00,4.00,0.00,96.00
36,1,1,3,0.00,1.02,0.00,98.98
36,1,1,4,0.00,2.02,2.02,95.96
36,1,1,5,0.00,4.00,0.00,96.00
36,1,1,6,0.00,4.00,1.00,95.00
36,1,1,7,0.00,3.96,0.00,96.04
36,1,1,8,0.00,1.98,0.99,97.03
36,1,1,9,0.00,3.00,2.00,95.00
36,1,1,10,0.00,1.01,1.01,97.98
36,1,1,11,0.00,2.00,0.00,98.00
36,1,1,12,0.00,2.02,0.00,97.98
36,1,1,13,0.00,5.00,0.00,95.00
36,1,1,14,0.00,2.00,2.00,96.00
36,1,1,15,0.00,1.00,2.00,97.00
36,1,1,16,0.00,2.00,1.00,97.00
36,1,1,17,0.00,2.04,2.04,95.92
36,1,1,18,0.00,2.00,0.00,98.00
36,1,1,19,0.00,2.00,2.00,96.00
36,1,1,20,0.00,2.94,1.96,95.10
36,1,1,21,0.00,3.03,2.02,94.95
36,1,1,22,0.00,2.00,0.00,98.00
36,1,1,23,0.00,2.02,3.03,94.95
36,1,1,24,0.00,2.02,2.02,95.96
36,1,1,25,0.00,2.08,1.04,96.88
36,1,1,26,0.00,1.02,1.02,97.96
36,1,1,27,0.00,1.01,3.03,95.96
36,1,1,28,0.00,1.02,1.02,97.96
36,1,1,29,0.00,2.97,3.96,92.08
36,1,1,30,0.00,2.04,0.00,97.96
36,1,1,31,0.00,2.00,0.00,98.00
36,1,1,32,0.00,1.02,2.04,96.94
36,1,1,33,0.00,3.06,0.00,96.94
36,1,1,34,0.00,2.02,1.01,96.97
36,1,1,35,0.00,2.02,0.00,97.98
36,1,1,-1,0.03,1.49,0.96,97.52
36,1,1,0,0.00,1.01,2.02,96.97
36,1,1,1,0.00,1.04,0.00,98.96
36,1,1,2,0.00,0.00,1.02,98.98
36,1,1,3,0.00,0.00,0.00,100.00
36,1,1,4,0.00,3.92,2.94,93.14
36,1,1,5,0.00,2.04,0.00,97.96
36,1,1,6,0.00,1.02,1.02,97.96
36,1,1,7,0.00,2.00,1.00,97.00
36,1,1,8,0.00,1.02,0.00,98.98
36,1,1,9,0.00,1.03,2.06,96.91
36,1,1,10,0.00,2.00,1.00,97.00
36,1,1,11,0.00,2.02,0.00,97.98
36,1,1,12,0.00,1.01,1.01,97.98
36,1,1,13,0.00,2.04,0.00,97.96
36,1,1,14,0.00,0.00,1.03,98.97
36,1,1,15,0.00,1.03,0.00,98.97
36,1,1,16,0.00,2.00,0.00,98.00
36,1,1,17,0.00,1.02,2.04,96.94
36,1,1,18,0.00,1.02,0.00,98.98
36,1,1,19,0.00,1.03,0.00,98.97
36,1,1,20,0.00,1.01,1.01,97.98
36,1,1,21,0.00,2.02,2.02,95.96
36,1,1,22,0.00,1.02,0.00,98.98
36,1,1,23,0.00,0.00,3.06,96.94
36,1,1,24,0.00,3.00,1.00,96.00
36,1,1,25,1.03,1.03,2.06,95.88
36,1,1,26,0.00,1.02,1.02,97.96
36,1,1,27,0.00,3.00,1.00,96.00
36,1,1,28,0.00,2.00,2.00,96.00
36,1,1,29,0.00,1.02,2.04,96.94
36,1,1,30,0.00,1.01,0.00,98.99
36,1,1,31,0.00,2.02,0.00,97.98
36,1,1,32,0.00,1.01,2.02,96.97
36,1,1,33,0.00,4.04,1.01,94.95
36,1,1,34,0.00,2.02,1.01,96.97
36,1,1,35,0.00,2.00,0.00,98.00
36,1,1,-1,0.00,2.11,1.01,96.88
36,1,1,0,0.00,3.00,1.00,96.00
36,1,1,1,0.00,3.09,0.00,96.91
36,1,1,2,0.00,1.02,0.00,98.98
36,1,1,3,0.00,1.02,0.00,98.98
36,1,1,4,0.00,2.02,3.03,94.95
36,1,1,5,0.00,3.03,0.00,96.97
36,1,1,6,0.00,1.98,2.97,95.05
36,1,1,7,0.00,2.00,0.00,98.00
36,1,1,8,0.00,1.02,0.00,98.98
36,1,1,9,0.00,3.03,2.02,94.95
36,1,1,10,0.00,3.03,0.00,96.97
36,1,1,11,0.00,2.02,0.00,97.98
36,1,1,12,0.00,1.02,0.00,98.98
36,1,1,13,0.00,4.04,0.00,95.96
36,1,1,14,0.00,1.03,1.03,97.94
36,1,1,15,0.00,2.02,0.00,97.98
36,1,1,16,0.00,2.02,0.00,97.98
36,1,1,17,0.00,2.04,2.04,95.92
36,1,1,18,0.00,3.00,0.00,97.00
36,1,1,19,0.00,1.00,3.00,96.00
36,1,1,20,0.00,2.00,1.00,97.00
36,1,1,21,0.00,3.06,1.02,95.92
36,1,1,22,0.00,1.02,0.00,98.98
36,1,1,23,0.00,2.02,3.03,94.95
36,1,1,24,0.00,1.01,2.02,96.97
36,1,1,25,0.00,3.03,3.03,93.94
36,1,1,26,0.00,1.01,2.02,96.97
36,1,1,27,0.00,2.04,1.02,96.94
36,1,1,28,0.00,2.00,2.00,96.00
36,1,1,29,0.00,3.03,2.02,94.95
36,1,1,30,0.00,1.03,0.00,98.97
36,1,1,31,0.00,1.02,0.00,98.98
36,1,1,32,0.00,1.01,2.02,96.97
36,1,1,33,0.00,4.00,2.00,94.00
36,1,1,34,0.00,3.06,0.00,96.94
36,1,1,35,0.00,3.00,0.00,97.00
36,1,1,-1,0.03,2.13,1.09,96.75
36,1,1,0,0.00,2.02,1.01,96.97
36,1,1,1,0.00,2.08,0.00,97.92
36,1,1,2,0.00,2.97,0.99,96.04
36,1,1,3,0.00,0.00,0.00,100.00
36,1,1,4,0.00,2.04,2.04,95.92
36,1,1,5,0.00,4.04,0.00,95.96
36,1,1,6,0.00,2.02,2.02,95.96
36,1,1,7,0.00,2.02,0.00,97.98
36,1,1,8,0.00,2.00,0.00,98.00
36,1,1,9,0.00,3.00,3.00,94.00
36,1,1,10,0.00,2.02,0.00,97.98
36,1,1,11,0.00,1.02,0.00,98.98
36,1,1,12,0.00,2.00,0.00,98.00
36,1,1,13,0.00,2.04,0.00,97.96
36,1,1,14,0.00,2.97,1.98,95.05
36,1,1,15,0.00,1.02,1.02,97.96
36,1,1,16,0.00,1.02,0.00,98.98
36,1,1,17,0.00,2.02,2.02,95.96
36,1,1,18,0.00,2.02,0.00,97.98
36,1,1,19,0.00,2.00,2.00,96.00
36,1,1,20,0.00,2.97,0.99,96.04
36,1,1,21,0.00,4.00,1.00,95.00
36,1,1,22,0.00,1.01,0.00,98.99
36,1,1,23,0.00,2.00,4.00,94.00
36,1,1,24,0.00,1.02,2.04,96.94
36,1,1,25,0.00,3.06,2.04,94.90
36,1,1,26,0.99,2.97,1.98,94.06
36,1,1,27,0.00,2.02,2.02,95.96
36,1,1,28,0.00,2.02,1.01,96.97
36,1,1,29,0.00,1.03,2.06,96.91
36,1,1,30,0.00,3.00,0.00,97.00
36,1,1,31,0.00,1.02,0.00,98.98
36,1,1,32,0.00,2.02,2.02,95.96
36,1,1,33,0.00,3.03,2.02,94.95
36,1,1,34,0.00,3.00,2.00,95.00
36,1,1,35,0.00,2.02,0.00,97.98
36,1,1,-1,0.00,1.99,1.07,96.94
36,1,1,0,0.00,2.97,1.98,95.05
36,1,1,1,0.00,2.08,0.00,97.92
36,1,1,2,0.00,2.00,1.00,97.00
36,1,1,3,0.00,2.02,0.00,97.98
36,1,1,4,0.00,1.00,4.00,95.00
36,1,1,5,0.00,2.04,0.00,97.96
36,1,1,6,0.00,1.01,2.02,96.97
36,1,1,7,0.00,2.02,0.00,97.98
36,1,1,8,0.00,2.02,0.00,97.98
36,1,1,9,0.00,3.06,1.02,95.92
36,1,1,10,0.00,0.00,0.00,100.00
36,1,1,11,0.00,2.00,0.00,98.00
36,1,1,12,0.00,2.04,0.00,97.96
36,1,1,13,0.00,4.00,1.00,95.00
36,1,1,14,0.00,1.02,2.04,96.94
36,1,1,15,0.00,2.00,1.00,97.00
36,1,1,16,0.00,1.02,0.00,98.98
36,1,1,17,0.00,0.00,1.05,98.95
36,1,1,18,0.00,1.02,0.00,98.98
36,1,1,19,0.00,1.03,1.03,97.94
36,1,1,20,0.00,2.97,0.99,96.04
36,1,1,21,0.00,4.08,0.00,95.92
36,1,1,22,0.00,2.00,1.00,97.00
36,1,1,23,0.00,2.00,3.00,95.00
36,1,1,24,0.00,1.01,2.02,96.97
36,1,1,25,0.00,2.06,2.06,95.88
36,1,1,26,0.00,2.00,2.00,96.00
36,1,1,27,0.00,2.02,1.01,96.97
36,1,1,28,0.00,0.00,2.04,97.96
36,1,1,29,0.00,3.96,2.97,93.07
36,1,1,30,0.00,2.02,0.00,97.98
36,1,1,31,0.00,2.00,1.00,97.00
36,1,1,32,0.00,2.02,1.01,96.97
36,1,1,33,0.00,3.06,1.02,95.92
36,1,1,34,0.00,3.00,1.00,96.00
36,1,1,35,0.00,2.97,0.99,96.04
36,1,1,-1,0.03,2.16,1.23,96.58
36,1,1,0,0.00,2.04,0.00,97.96
36,1,1,1,0.00,4.08,0.00,95.92
36,1,1,2,0.00,1.01,1.01,97.98
36,1,1,3,0.00,3.00,0.00,97.00
36,1,1,4,0.00,2.00,4.00,94.00
36,1,1,5,0.00,2.04,0.00,97.96
36,1,1,6,0.00,3.00,2.00,95.00
36,1,1,7,0.00,2.02,0.00,97.98
36,1,1,8,0.00,2.00,1.00,97.00
36,1,1,9,0.00,2.02,2.02,95.96
36,1,1,10,0.00,2.04,0.00,97.96
36,1,1,11,0.00,2.97,0.99,96.04
36,1,1,12,0.00,2.02,0.00,97.98
36,1,1,13,0.00,4.00,0.00,96.00
36,1,1,14,0.00,2.97,1.98,95.05
36,1,1,15,0.00,2.04,0.00,97.96
36,1,1,16,0.00,1.01,1.01,97.98
36,1,1,17,0.00,4.04,1.01,94.95
36,1,1,18,0.00,1.02,0.00,98.98
36,1,1,19,0.00,2.00,2.00,96.00
36,1,1,20,0.00,1.02,0.00,98.98
36,1,1,21,0.00,2.04,2.04,95.92
36,1,1,22,0.00,3.00,0.00,97.00
36,1,1,23,0.00,2.04,2.04,95.92
36,1,1,24,0.00,2.02,2.02,95.96
36,1,1,25,1.01,2.02,4.04,92.93
36,1,1,26,0.00,2.00,2.00,96.00
36,1,1,27,0.00,2.02,2.02,95.96
36,1,1,28,0.00,2.00,3.00,95.00
36,1,1,29,0.00,2.02,3.03,94.95
36,1,1,30,0.00,2.02,0.00,97.98
36,1,1,31,0.00,1.01,0.00,98.99
36,1,1,32,0.00,0.00,3.03,96.97
36,1,1,33,0.00,2.04,2.04,95.92
36,1,1,34,0.00,3.00,2.00,95.00
36,1,1,35,0.00,2.00,0.00,98.00
36,1,1,-1,0.03,2.10,1.23,96.64
36,1,1,0,0.00,2.02,1.01,96.97
36,1,1,1,0.00,2.08,0.00,97.92
36,1,1,2,0.00,1.03,0.00,98.97
36,1,1,3,0.00,3.00,0.00,97.00
36,1,1,4,0.00,1.98,4.95,93.07
36,1,1,5,0.00,3.00,1.00,96.00
36,1,1,6,0.00,1.02,1.02,97.96
36,1,1,7,0.00,1.02,0.00,98.98
36,1,1,8,0.00,1.02,0.00,98.98
36,1,1,9,0.00,4.95,1.98,93.07
36,1,1,10,0.99,1.98,0.99,96.04
36,1,1,11,0.00,2.02,0.00,97.98
36,1,1,12,0.00,1.01,0.00,98.99
36,1,1,13,0.00,2.06,0.00,97.94
36,1,1,14,0.00,1.01,2.02,96.97
36,1,1,15,0.00,3.00,0.00,97.00
36,1,1,16,0.00,1.02,0.00,98.98
36,1,1,17,0.00,2.04,2.04,95.92
36,1,1,18,0.00,3.92,0.00,96.08
36,1,1,19,0.00,2.04,0.00,97.96
36,1,1,20,0.00,0.00,1.03,98.97
36,1,1,21,0.00,2.00,4.00,94.00
36,1,1,22,0.00,1.02,0.00,98.98
36,1,1,23,0.00,1.01,4.04,94.95
